""	"chr10p"	"chr10q"	"chr11p"	"chr11q"	"chr12p"	"chr12q"	"chr13q"	"chr14q"	"chr15q"	"chr16p"	"chr16q"	"chr17p"	"chr17q"	"chr18p"	"chr18q"	"chr19p"	"chr19q"	"chr1p"	"chr1q"	"chr20p"	"chr20q"	"chr21q"	"chr22q"	"chr2p"	"chr2q"	"chr3p"	"chr3q"	"chr4p"	"chr4q"	"chr5p"	"chr5q"	"chr6p"	"chr6q"	"chr7p"	"chr7q"	"chr8p"	"chr8q"	"chr9p"	"chr9q"
"A2780_OVARY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OVCAR4_OVARY"	0	0	-1	0	0	0	-1	0	-1	0	-1	-1	-1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	-1	-1	0	0	0	0	0	1	-1	1	-1	-1
"L33_PANCREAS"	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	1	0	1	1	1	0	0	0	0	-1	1	-1	-1	1	0	0	0	0	0	0	0	0	0
"HS944T_SKIN"	-1	0	-1	-1	-1	-1	0	0	-1	-1	-1	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	1	-1	0	0	-1	0	-1	0
"VMRCRCZ_KIDNEY"	0	0	0	0	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	-1	1	0	0	0	1	1	0	0	-1	-1
"DBTRG05MG_CENTRAL_NERVOUS_SYSTEM"	0	0	0	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	-1	0	1	1	0	0	0	1
"HS766T_PANCREAS"	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
"SKMEL24_SKIN"	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	1	0	0	0	-1
"CAOV3_OVARY"	1	1	-1	0	0	0	-1	0	1	-1	-1	-1	0	1	-1	0	0	0	0	1	0	-1	0	0	0	0	1	-1	-1	1	1	1	-1	0	1	0	0	0	-1
"PANC0203_PANCREAS"	0	0	0	0	0	0	-1	0	0	0	0	-1	1	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	1	-1	-1	1	0	-1	0	-1	0
"AZ521_STOMACH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C32_SKIN"	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	1	-1	0
"CAL851_BREAST"	0	0	-1	0	0	0	0	-1	0	-1	0	1	0	1	-1	-1	0	0	0	1	0	0	0	0	-1	0	0	0	0	1	0	1	0	0	1	0	0	0	0
"NCIH1975_LUNG"	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	-1	1	0	-1	0	1	1	-1	0	0	0	0	0	0	0	1	0	0	-1	1	1	-1	0	0	0
"A549_LUNG"	0	0	0	0	1	1	-1	0	1	0	0	1	1	-1	-1	-1	1	-1	0	1	0	-1	-1	1	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0
"SCABER_URINARY_TRACT"	-1	0	0	0	1	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	1	1	-1	0	0	0	-1	1	-1	0	1	0	0	0	1	0	-1	1	0	0
"BT549_BREAST"	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	-1	-1	0	0	0	0	1	1	0	0	0	0	1	1	1	0
"HCT15_LARGE_INTESTINE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K029AX_SKIN"	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1	1	0	0	-1	0
"TOV112D_OVARY"	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"HS571T_OVARY"	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
