ccle_name,row_id,pool_id,culture,depmap_id,screen
KYSE510_OESOPHAGUS,ACH-000824::P107::PR500A::REP1M,P107,PR500A,ACH-000824,REP1M
HEC1A_ENDOMETRIUM,ACH-000954::P107::PR500A::REP1M,P107,PR500A,ACH-000954,REP1M
MIAPACA2_PANCREAS,ACH-000601::P101::PR500A::REP1M,P101,PR500A,ACH-000601,REP1M
SW620_LARGE_INTESTINE,ACH-000651::P108::PR500A::REP1M,P108,PR500A,ACH-000651,REP1M
SKHEP1_LIVER,ACH-000361::P108::PR500A::REP1M,P108,PR500A,ACH-000361,REP1M
SW480_LARGE_INTESTINE,ACH-000842::P108::PR500A::REP1M,P108,PR500A,ACH-000842,REP1M
YKG1_CENTRAL_NERVOUS_SYSTEM,ACH-000570::P108::PR500A::REP1M,P108,PR500A,ACH-000570,REP1M
J82_URINARY_TRACT,ACH-000396::P108::PR500A::REP1M,P108,PR500A,ACH-000396,REP1M
KYSE30_OESOPHAGUS,ACH-000777::P108::PR500A::REP1M,P108,PR500A,ACH-000777,REP1M
NCIH2172_LUNG,ACH-000924::P108::PR500A::REP1M,P108,PR500A,ACH-000924,REP1M
G401_SOFT_TISSUE,ACH-000096::P108::PR500A::REP1M,P108,PR500A,ACH-000096,REP1M
SNU407_LARGE_INTESTINE,ACH-000955::P108::PR500A::REP1M,P108,PR500A,ACH-000955,REP1M
SNU840_OVARY,ACH-000280::P107::PR500A::REP1M,P107,PR500A,ACH-000280,REP1M
AN3CA_ENDOMETRIUM,ACH-000940::P108::PR500A::REP1M,P108,PR500A,ACH-000940,REP1M
PLCPRF5_LIVER,ACH-001318::P108::PR500A::REP1M,P108,PR500A,ACH-001318,REP1M
YAPC_PANCREAS,ACH-000332::P108::PR500A::REP1M,P108,PR500A,ACH-000332,REP1M
SCABER_URINARY_TRACT,ACH-000839::P108::PR500A::REP1M,P108,PR500A,ACH-000839,REP1M
G292CLONEA141B1_BONE,ACH-000082::P108::PR500A::REP1M,P108,PR500A,ACH-000082,REP1M
JHH4_LIVER,ACH-000476::P108::PR500A::REP1M,P108,PR500A,ACH-000476,REP1M
