screen,dose,repurposing_target,MOA,IDs,Drug.Name,Synonyms
REP.300,2.5,,,BRD:BRD-K00104122-001-01-9,MRTX1133,MRTX1133
REP.300,2.5,,,BRD:BRD-K00104124-001-01-9,PEMIGATINIB,PEMIGATINIB
REP.300,2.5,,,BRD:BRD-K00085355-001-01-9,TELAVANCIN,TELAVANCIN
REP.300,2.5,,,BRD:BRD-K00075140-005-02-9,ECHOTHIOPHATE IODIDE,ECHOTHIOPHATE IODIDE
REP.300,2.5,,,BRD:BRD-K00080753-001-01-9,SPINOSAD,SPINOSAD
REP.300,2.5,,,BRD:BRD-K00085357-001-01-9,FLUCICLOVINE,FLUCICLOVINE
REP.300,2.5,,,BRD:BRD-K00108790-001-01-9,AMG-397,AMG-397
REP.300,2.5,,,BRD:BRD-K00104123-001-01-9,THZ531,THZ531
REP.PRIMARY,2.5,PRKG1,PKA ACTIVATOR,BRD:BRD-A00077618-236-07-6,8-BROMO-CGMP,8-BROMO-CGMP
REP.PRIMARY,2.5,,DNA INHIBITOR,BRD:BRD-A00100033-001-08-9,NIFURTIMOX,NIFURTIMOX
REP.PRIMARY,2.5,PPARG,"INSULIN SENSITIZER, PPAR RECEPTOR PARTIAL AGONIST",BRD:BRD-A00147595-001-01-5,BALAGLITAZONE,BALAGLITAZONE
REP.PRIMARY,2.5,,STEROL DEMETHYLASE INHIBITOR,BRD:BRD-A00218260-001-03-4,FLUTRIMAZOLE,FLUTRIMAZOLE
REP.PRIMARY,2.5,MME,NEPRILYSIN INHIBITOR,BRD:BRD-A00376169-001-01-6,KBG,KBG
REP.PRIMARY,2.5,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A00520476-001-07-4,OTENZEPAD,OTENZEPAD
REP.PRIMARY,2.5,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A00546892-001-02-6,BIPERIDEN,BIPERIDEN
REP.PRIMARY,2.5,,CYCLOOXYGENASE INHIBITOR,BRD:BRD-A00578795-001-04-3,ZALTOPROFEN,ZALTOPROFEN
REP.PRIMARY,2.5,PGR,PROGESTOGEN HORMONE,BRD:BRD-A00758722-001-04-9,NORETYNODREL,NORETYNODREL
REP.PRIMARY,2.5,"ADORA1, ADORA2A, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B","ADENOSINE RECEPTOR ANTAGONIST, PHOSPHODIESTERASE INHIBITOR",BRD:BRD-A00827783-001-24-6,DYPHYLLINE,DYPHYLLINE
REP.PRIMARY,2.5,"ADRB1, ADRB2, HTR1A",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A00993607-003-24-6,ALPRENOLOL,ALPRENOLOL
REP.PRIMARY,2.5,CACNA1C,CALCIUM CHANNEL BLOCKER,BRD:BRD-A01098288-001-02-9,AZELNIDIPINE,AZELNIDIPINE
REP.PRIMARY,2.5,,,BRD:BRD-A01412266-001-01-0,HYDROXYPROPYL-BETA-CYCLODEXTRIN,HYDROXYPROPYL-BETA-CYCLODEXTRIN
REP.PRIMARY,2.5,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1A",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A01493904-003-12-1,WB-4101,WB-4101
REP.PRIMARY,2.5,"CACNA1C, CACNA1D, CACNA1F, CACNA1S",CALCIUM CHANNEL BLOCKER,BRD:BRD-A01563671-001-02-7,CLEVIPREX,CLEVIPREX
REP.PRIMARY,2.5,PGR,5 ALPHA REDUCTASE INHIBITOR,BRD:BRD-A01593789-001-03-1,CHLORMADINONE-ACETATE,CHLORMADINONE-ACETATE
REP.PRIMARY,2.5,"KCNA5, PTGER1, SCN10A, SCN4A",SODIUM CHANNEL BLOCKER,BRD:BRD-A01636364-003-15-1,BUPIVACAINE,BUPIVACAINE
REP.PRIMARY,2.5,NR3C1,GLUCOCORTICOID RECEPTOR AGONIST,BRD:BRD-A01643550-001-04-9,PREDNISOLONE-ACETATE,PREDNISOLONE-ACETATE
REP.PRIMARY,2.5,ADRA1A,ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A01787639-003-16-9,NAFTOPIDIL,NAFTOPIDIL
REP.PRIMARY,2.5,OPRM1,OPIOID RECEPTOR AGONIST,BRD:BRD-A01907367-001-01-7,FK-33-824,FK-33-824
REP.PRIMARY,2.5,"CACNA1C, CACNA1D, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2, CACNG1, KCNN4",CALCIUM CHANNEL BLOCKER,BRD:BRD-A02006392-001-16-4,NITRENDIPINE,NITRENDIPINE
REP.PRIMARY,2.5,NR3C1,GLUCOCORTICOID RECEPTOR AGONIST,BRD:BRD-A02180903-001-04-5,BETAMETHASONE,BETAMETHASONE
REP.PRIMARY,2.5,BCHE,OPIOID RECEPTOR AGONIST,BRD:BRD-A02710418-003-11-8,MEPTAZINOL,MEPTAZINOL
REP.PRIMARY,2.5,CACNA1B,CALCIUM CHANNEL BLOCKER,BRD:BRD-A02743701-001-03-6,CILNIDIPINE,CILNIDIPINE
REP.PRIMARY,2.5,"ADRB1, ADRB2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A02759312-003-24-5,BETAXOLOL,BETAXOLOL
REP.PRIMARY,2.5,ADRA2A,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A02990301-003-06-6,LOFEXIDINE,LOFEXIDINE
REP.PRIMARY,2.5,DRD2,DOPAMINE RECEPTOR ANTAGONIST,BRD:BRD-A03061970-003-07-3,ALIZAPRIDE,ALIZAPRIDE
REP.PRIMARY,2.5,SCN10A,"POTASSIUM CHANNEL BLOCKER, SODIUM CHANNEL BLOCKER",BRD:BRD-A03216249-003-24-3,MEPIVACAINE,MEPIVACAINE
REP.PRIMARY,2.5,"ADRB1, ADRB2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A03359064-001-02-3,ICI-89406,ICI-89406
REP.PRIMARY,2.5,,HSP INHIBITOR,BRD:BRD-A03506276-001-01-5,XL888,XL888
REP.PRIMARY,2.5,"ADRB1, ADRB2",ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A03623303-045-09-5,METOPROLOL,METOPROLOL
REP.PRIMARY,2.5,,,BRD:BRD-A03880619-001-01-0,BISMUTH-SUBCITRATE-POTASSIUM,BISMUTH-SUBCITRATE-POTASSIUM
REP.PRIMARY,2.5,"CHRM1, CHRM2, CHRM3",ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A03932035-004-04-3,METHSCOPOLAMINE,METHSCOPOLAMINE
REP.PRIMARY,2.5,HTR2A,"DOPAMINE RECEPTOR ANTAGONIST, SEROTONIN RECEPTOR ANTAGONIST",BRD:BRD-A04203391-001-08-3,PIRICAPIRON,PIRICAPIRON
REP.PRIMARY,2.5,CYP2J2,ACETYLCHOLINE RECEPTOR ANTAGONIST,BRD:BRD-A04252265-003-01-4,EPERISONE,EPERISONE
REP.PRIMARY,2.5,"ADRB1, ADRB2, ADRB3, MAPK1, PIK3R1, PIK3R2, PIK3R3",ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A04322457-003-17-9,ISOPRENALINE,ISOPRENALINE
REP.PRIMARY,2.5,ADRA1A,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A04327189-001-15-1,SYNEPHRINE,SYNEPHRINE
REP.PRIMARY,2.5,ADRA1A,ADRENERGIC RECEPTOR AGONIST,BRD:BRD-A04327189-003-03-3,SYNEPHRINE,SYNEPHRINE
REP.PRIMARY,2.5,CCR5,CC CHEMOKINE RECEPTOR ANTAGONIST,BRD:BRD-A04352665-001-05-3,MARAVIROC,MARAVIROC
REP.PRIMARY,2.5,"ESR1, ESR2, HSD3B1, HSD3B2",3BETA-HYDROXY-DELTA5-STEROID DEHYDROGENASE INHIBITOR,BRD:BRD-A04497688-001-04-2,TRILOSTANE,TRILOSTANE
REP.PRIMARY,2.5,,MUCOLYTIC AGENT,BRD:BRD-A04506385-001-01-2,STEPRONIN,STEPRONIN
REP.PRIMARY,2.5,"HRH1, SLC6A2, SLC6A3, SLC6A4",HISTAMINE RECEPTOR ANTAGONIST,BRD:BRD-A04553218-050-16-2,CHLORPHENAMINE,CHLORPHENAMINE
REP.PRIMARY,2.5,ADRA1A,ADRENERGIC RECEPTOR ANTAGONIST,BRD:BRD-A04661934-001-02-9,2-PMDQ,2-PMDQ
REP.PRIMARY,2.5,"CHRNA3, SLC6A2, SLC6A3",DOPAMINE UPTAKE INHIBITOR,BRD:BRD-A05186015-003-19-8,BUPROPION,BUPROPION
REP.PRIMARY,2.5,,"INTERLEUKIN RECEPTOR ANTAGONIST, STAT INHIBITOR",BRD:BRD-A05334458-001-02-8,LISOFYLLINE,LISOFYLLINE
REP.PRIMARY,2.5,,"L-TYPE CALCIUM CHANNEL ACTIVATOR, L-TYPE CALCIUM CHANNEL BLOCKER",BRD:BRD-A05457250-001-08-4,BAY-K-8644-(+/-),BAY-K-8644-(+/-)
REP.PRIMARY,2.5,,MUCOLYTIC AGENT,BRD:BRD-A05515753-001-03-2,ERDOSTEINE,ERDOSTEINE
REP.PRIMARY,2.5,,MUCOLYTIC AGENT,BRD:BRD-A05523972-001-01-5,TELMESTEINE,TELMESTEINE
REP.PRIMARY,2.5,,,BRD:BRD-A05674712-001-06-0,"MEVALONIC-D,-L-ACID-LACTONE","D,L-MEVALONIC-ACID-LACTONE, MEVALONIC-D,-L-ACID-LACTONE"
